name,date,qc.overallStatus
171497_S41/B.1.1/2020-12-16,2020-12-16,good
171503_S38/B.1.1/2020-12-16,2020-12-16,good
171521_S35/B.1.1/2020-12-17,2020-12-17,mediocre
171524_S32/B.1.1/2020-12-17,2020-12-17,mediocre
171534_S58/B.1.1/2020-12-17,2020-12-17,mediocre
171560_S59/B.1.1.135/2020-12-17,2020-12-17,good
171584_S57/B.1.1.411/2020-12-18,2020-12-18,good
171603_S54/B.1.1.194/2020-12-18,2020-12-18,good
171604_S51/B.1.1.194/2020-12-18,2020-12-18,good
173398_S17/B.1.1/2020-12-22,2020-12-22,good
173411_S18/B.1.1.348/2020-12-22,2020-12-22,good
173417_S19/B.1.1/2020-12-23,2020-12-23,good
173440_S21/B.1.1/2020-12-22,2020-12-22,good
173501_S22/B.1.1/2020-12-22,2020-12-22,mediocre
173524_S23/B.1.1.121/2020-12-22,2020-12-22,good
173525_S24/B.1.1/2020-12-22,2020-12-22,good
173538_S25/B.1.1.411/2020-12-21,2020-12-21,good
173539_S26/B.1.1.411/2020-12-21,2020-12-21,good
173617_S9/B.1.177/2020-12-23,2020-12-23,good
173643_S10/B.1.1.194/2020-12-23,2020-12-23,good
173656_S11/B.1.1.194/2020-12-23,2020-12-23,good
173668_S12/B.1.1/2020-12-23,2020-12-23,good
173675_S13/B.1.1/2020-12-23,2020-12-23,good
173676_S14/B.1.1.348/2020-12-23,2020-12-23,good
173687_S15/B.1.1/2020-12-23,2020-12-23,good
173688_S16/B.1.1/2020-12-23,2020-12-23,good
173689_S77/B.1.1/2020-12-23,2020-12-23,good
173720_S95/B.1.1/2020-12-23,2020-12-23,good
173753_S1/B.1.1/2020-12-23,2020-12-23,good
173760_S2/B.1.1/2020-12-23,2020-12-23,mediocre
173766_S3/B.1.1/2020-12-23,2020-12-23,good
173786_S4/B.1.1.1/2020-12-21,2020-12-21,good
173794_S5/B.1.1.1/2020-12-23,2020-12-23,good
173813_S6/B.1.177.74/2020-12-22,2020-12-22,good
173815_S7/B.1.177.74/2020-12-21,2020-12-21,good
173817_S86/B.1.1.1/2020-12-21,2020-12-21,good
173824_S87/B.1.177.74/2020-12-22,2020-12-22,good
173825_S88/B.1.177.74/2020-12-22,2020-12-22,mediocre
173841_S91/B.1.1.1/2020-12-21,2020-12-21,good
173844_S92/B.1.1.1/2020-12-21,2020-12-21,good
173852_S93/B.1.1.411/2020-12-21,2020-12-21,good
173860_S94/B.1.1/2020-12-21,2020-12-21,good
173863_S78/B.1.1/2020-12-21,2020-12-21,good
173865_S79/B.1.1/2020-12-21,2020-12-21,good
173866_S80/B.1.1/2020-12-21,2020-12-21,good
173867_S81/B.1.1/2020-12-21,2020-12-21,good
173889_S82/B.1.1.1/2020-12-22,2020-12-22,good
173895_S83/B.1.1/2020-12-22,2020-12-22,good
173905_S84/B.1.1/2020-12-22,2020-12-22,good
173916_S85/B.1.1.1/2020-12-21,2020-12-21,good
173928_S67/B.1.1.411/2020-12-23,2020-12-23,good
173929_S68/B.1.1.411/2020-12-23,2020-12-23,good
173930_S69/B.1.1.411/2020-12-23,2020-12-23,good
173960_S70/B.1.2/2020-12-24,2020-12-24,good
173991_S71/B.1.1.411/2020-12-22,2020-12-22,good
173994_S72/B.1.1/2020-12-23,2020-12-23,good
174046_S73/B.1.1.411/2020-12-24,2020-12-24,good
174047_S74/B.1.1.411/2020-12-24,2020-12-24,good
174059_S75/B.1.1/2020-12-23,2020-12-23,mediocre
174079_S76/B.1.1/2020-12-23,2020-12-23,mediocre
174088_S57/B.1.1.411/2020-12-24,2020-12-24,good
174091_S58/B.1.1/2020-12-24,2020-12-24,good
174093_S59/B.1.1.28/2020-12-23,2020-12-23,good
174097_S60/B.1.1/2020-12-22,2020-12-22,good
174104_S61/B.1.1/2020-12-23,2020-12-23,good
174105_S62/B.1.1/2020-12-23,2020-12-23,good
174106_S63/B.1.1/2020-12-23,2020-12-23,good
174107_S64/B.1.1/2020-12-23,2020-12-23,good
174108_S65/B.1.1/2020-12-23,2020-12-23,good
174112_S66/B.1.1/2020-12-23,2020-12-23,good
174118_S47/B.1.1/2020-12-22,2020-12-22,good
174119_S48/B.1.1.411/2020-12-22,2020-12-22,good
174120_S49/B.1.1/2020-12-22,2020-12-22,good
174125_S50/B.1.1/2020-12-23,2020-12-23,good
174138_S51/B.1.243/2020-12-22,2020-12-22,good
