node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
942,943,0.000646170187068029,-79.8923092648441,-2.05567877770341,-79.8933487948538,-2.05578109032227,0.131140747818913,0.130494577631845,2019.99749505947,2019.99814122965
734,799,0.00864633695483508,-79.8909325718484,-2.05660034686474,-79.8921339509407,-2.05709238015782,0.13117124493101,0.122524907976175,2019.98952538981,2019.99817172677
893,894,0.00220786410626517,-79.892601830866,-2.05553788120137,-79.89299431816,-2.05561386680455,0.131219224989057,0.129011360882792,2019.99601184272,2019.99821970682
860,867,0.000637509051229612,-80.6730173585456,-1.00459194511499,-80.6731622414793,-1.00462645887063,0.13123248228579,0.13059497323456,2019.99759545507,2019.99823296412
992,993,0.00282914930088485,-80.3911624304074,-2.14359727202078,-80.7602557561258,-2.16035375123135,0.131233002688925,0.12840385338804,2019.99540433522,2019.99823348452
846,847,0.000737194487070214,-80.6728739880371,-1.0046842297331,-80.6727199887106,-1.00479300966321,0.13127017686321,0.130532982376139,2019.99753346421,2019.9982706587
992,1006,0.00288413268581511,-80.3911624304074,-2.14359727202078,-79.8535742385841,-3.51542721432516,0.131287986073855,0.12840385338804,2019.99540433522,2019.99828846791
799,800,0.00019521157197544,-79.8921339509407,-2.05709238015782,-79.8928923217431,-2.05827650274234,0.131366456502985,0.13117124493101,2019.99817172677,2019.99836693834
993,994,0.000240676052399746,-80.7602557561258,-2.16035375123135,-80.7609628543807,-2.16097450072425,0.131473678741325,0.131233002688925,2019.99823348452,2019.99847416058
688,693,0.00202289762579355,-79.8940115357712,-2.05756031501226,-79.8930584165039,-2.05535820408467,0.131498106464983,0.12947520883919,2019.99647569067,2019.9984985883
927,932,0.000451780307805572,-79.8913424779097,-2.05524488606796,-79.8921283252939,-2.05399458400397,0.131516907479891,0.131065127172085,2019.99806560901,2019.99851738931
615,662,0.00477641966198694,-79.8916576906071,-2.05293806937549,-79.8921864824455,-2.05536961967791,0.131628718792708,0.126852299130721,2019.99385278097,2019.99862920063
520,521,0.00594974006750593,-79.8077138563192,-1.02282952764403,-80.6722709129626,-1.00358247174134,0.131631247558598,0.125681507491092,2019.99268198933,2019.99863172939
943,944,0.000492475668070425,-79.8933487948538,-2.05578109032227,-78.7720777003301,-1.97795209960603,0.131633223486984,0.131140747818913,2019.99814122965,2019.99863370532
974,988,0.0110695046563227,-79.892968193102,-2.05579868821957,-79.8921469637832,-2.05502349010318,0.131642788035375,0.120573283379053,2019.98757376521,2019.99864326987
739,740,0.00469227122905536,-79.5440354814826,-1.48933573815146,-78.2935905858668,0.436213587997079,0.131662603976805,0.126970332747749,2019.99397081458,2019.99866308581
680,685,0.00320876899543221,-79.8931377293537,-2.05542984291714,-79.892468403563,-2.05483611852807,0.131666581942416,0.128457812946983,2019.99545829478,2019.99866706378
942,959,0.00117699456406772,-79.8923092648441,-2.05567877770341,-79.8926128991245,-2.05379565309226,0.131671572195913,0.130494577631845,2019.99749505947,2019.99867205403
