name	nameseq	pangolineage	date	state
174204_S46/B.1.1/2020-12-23/GUAYAS	174204_S46	B.1.1	2020-12-23	GUAYAS
175_S5/B.1.1/2020-05-07/LOS_RIOS	175_S5	B.1.1	2020-05-07	LOS_RIOS
176_S6/B.1.1/2020-05-08/LOS_RIOS	176_S6	B.1.1	2020-05-08	LOS_RIOS
187_S15/B.1.1/2020-05-08/MANABI	187_S15	B.1.1	2020-05-08	MANABI
1_S1/B.1.1/2020-03-18/GUAYAS	1_S1	B.1.1	2020-03-18	GUAYAS
200_S22/B.1.1/2020-05-08/LOS_RIOS	200_S22	B.1.1	2020-05-08	LOS_RIOS
205_S25/B.1.1/2020-05-09/LOS_RIOS	205_S25	B.1.1	2020-05-09	LOS_RIOS
206_S26/B.1.1/2020-05-07/MANABI	206_S26	B.1.1	2020-05-07	MANABI
208_S28/B.1.1/2020-05-07/MANABI	208_S28	B.1.1	2020-05-07	MANABI
209_S29/B.1.1/2020-05-09/LOS_RIOS	209_S29	B.1.1	2020-05-09	LOS_RIOS
210_S30/B.1.1/2020-05-09/LOS_RIOS	210_S30	B.1.1	2020-05-09	LOS_RIOS
213_S32/B.1.1/2020-05-15/SANTA_ELENA	213_S32	B.1.1	2020-05-15	SANTA_ELENA
214_S33/B.1.1/2020-05-17/GUAYAS	214_S33	B.1.1	2020-05-17	GUAYAS
222_S35/B.1.1/2020-05-17/SANTA_ELENA	222_S35	B.1.1	2020-05-17	SANTA_ELENA
22_S14/B.1.1/2020-03-20/GUAYAS	22_S14	B.1.1	2020-03-20	GUAYAS
232_S36/B.1.1/2020-05-20/LOS_RIOS	232_S36	B.1.1	2020-05-20	LOS_RIOS
23358_S38/B.1.1/2020-04-23/LOS_RIOS	23358_S38	B.1.1	2020-04-23	LOS_RIOS
237_S37/B.1.1/2020-05-21/LOS_RIOS	237_S37	B.1.1	2020-05-21	LOS_RIOS
241_S40/B.1.1/2020-05-22/LOS_RIOS	241_S40	B.1.1	2020-05-22	LOS_RIOS
2451_S13/B.1.1/2020-03-23/GUAYAS	2451_S13	B.1.1	2020-03-23	GUAYAS
2454_S1/B.1.1/2020-03-23/GUAYAS	2454_S1	B.1.1	2020-03-23	GUAYAS
2463_S2/B.1.1/2020-03-23/GUAYAS	2463_S2	B.1.1	2020-03-23	GUAYAS
2468_S3/B.1.1/2020-03-23/GUAYAS	2468_S3	B.1.1	2020-03-23	GUAYAS
2476_S4/B.1.1/2020-03-23/GUAYAS	2476_S4	B.1.1	2020-03-23	GUAYAS
2490_S5/B.1.1/2020-03-23/GUAYAS	2490_S5	B.1.1	2020-03-23	GUAYAS
2492_S6/B.1.1/2020-03-23/GUAYAS	2492_S6	B.1.1	2020-03-23	GUAYAS
2495_S7/B.1.1/2020-03-16/GUAYAS	2495_S7	B.1.1	2020-03-16	GUAYAS
2498_S8/B.1.1/2020-03-23/GUAYAS	2498_S8	B.1.1	2020-03-23	GUAYAS
2514_S9/B.1.1/2020-03-23/GUAYAS	2514_S9	B.1.1	2020-03-23	GUAYAS
2520_S10/B.1.1/2020-03-23/GUAYAS	2520_S10	B.1.1	2020-03-23	GUAYAS
257_S43/B.1.1/2020-05-31/GUAYAS	257_S43	B.1.1	2020-05-31	GUAYAS
2640_S12/B.1.1/2020-03-25/GUAYAS	2640_S12	B.1.1	2020-03-25	GUAYAS
2641_S13/B.1.1/2020-03-25/GUAYAS	2641_S13	B.1.1	2020-03-25	GUAYAS
2650_S14/B.1.1/2020-03-25/GUAYAS	2650_S14	B.1.1	2020-03-25	GUAYAS
2651_S15/B.1.1/2020-03-25/GUAYAS	2651_S15	B.1.1	2020-03-25	GUAYAS
266_S44/B.1.1/2020-05-30/SANTA_ELENA	266_S44	B.1.1	2020-05-30	SANTA_ELENA
2670_S18/B.1.1/2020-03-23/GUAYAS	2670_S18	B.1.1	2020-03-23	GUAYAS
2673_S20/B.1.1/2020-03-23/CANAR	2673_S20	B.1.1	2020-03-23	CANAR
2675_S21/B.1.1/2020-03-23/GUAYAS	2675_S21	B.1.1	2020-03-23	GUAYAS
2684_S22/B.1.1/2020-03-23/GUAYAS	2684_S22	B.1.1	2020-03-23	GUAYAS
2688_S23/B.1.1/2020-03-23/GUAYAS	2688_S23	B.1.1	2020-03-23	GUAYAS
2692_S24/B.1.1/2020-03-23/GUAYAS	2692_S24	B.1.1	2020-03-23	GUAYAS
