time	velocity	number_of_branches
2019.03856497546	5567.2384582632	538.938
2019.05130745457	5409.61772386494	550.98
2019.06404993368	5243.44864664189	563.682
2019.07679241279	5098.19111337544	577.214
2019.08953489191	4947.29537815838	591.71
2019.10227737102	4874.42558829412	600.384
2019.11501985013	4799.88437339661	608.812
2019.12776232924	4720.38463443125	618.088
2019.14050480835	4646.48635873512	627.418
2019.15324728747	4575.55209634952	637.486
2019.16598976658	4500.96988117113	647.848
2019.17873224569	4422.33035142402	659.332
2019.1914747248	4348.53160428698	671.554
2019.20421720391	4267.29477641472	685.234
2019.21695968303	4188.86823350225	699.308
2019.22970216214	4129.86987067522	710.76
2019.24244464125	4091.38453843789	718.384
2019.25518712036	4058.98915426632	725.174
2019.26792959947	4026.93272495381	731.808
2019.28067207858	3991.98117483729	738.124
2019.2934145577	3957.58456687994	745.116
2019.30615703681	3922.52939738987	751.6
2019.31889951592	3888.77488566393	758.388
2019.33164199503	3857.80818860463	764.936
2019.34438447414	3826.83787105597	771.474
2019.35712695326	3795.43653995899	777.752
2019.36986943237	3770.74659782501	783.482
2019.38261191148	3743.92687677989	789.208
2019.39535439059	3715.17973083158	794.594
2019.4080968697	3689.59490342171	799.404
2019.42083934882	3667.07159098909	803.912
2019.43358182793	3647.69062055446	808.67
2019.44632430704	3628.03568049272	813.7
2019.45906678615	3599.15619507127	820.612
2019.47180926526	3562.0888539927	829.968
2019.48455174437	3529.90847212857	838.368
2019.49729422349	3505.11001200434	845.134
2019.5100367026	3484.96918751579	849.958
2019.52277918171	3466.59185422802	854.662
2019.53552166082	3448.2075337754	859.628
2019.54826413993	3426.72859772377	865.694
2019.56100661905	3400.42909759143	873.082
2019.57374909816	3373.86179679079	880.592
2019.58649157727	3351.7662450826	887.832
2019.59923405638	3329.18391892708	894.948
2019.61197653549	3306.09356371411	902.292
2019.62471901461	3282.22179256817	909.656
2019.63746149372	3257.86069759115	917.116
2019.65020397283	3235.2935350237	924.26
2019.66294645194	3217.03761481304	931.512
2019.67568893105	3202.03063716556	938.388
2019.68843141016	3180.75045230477	944.284
2019.70117388928	3161.34525183522	949.9
2019.71391636839	3147.96665786048	955.58
2019.7266588475	3130.78438494899	960.966
2019.73940132661	3120.16571239407	965.04
2019.75214380572	3111.33636143904	968.952
2019.76488628484	3105.29295128228	972.06
2019.77762876395	3100.80559448848	973.884
2019.79037124306	3096.68726041487	975.41
2019.80311372217	3092.55260082182	976.82
2019.81585620128	3086.15691154122	978.852
2019.82859868039	3073.07087976098	982.928
2019.84134115951	3063.63370577457	985.91
2019.85408363862	3056.38007367277	988.4
2019.86682611773	3048.19117343461	990.66
2019.87956859684	3043.16538216162	992.22
2019.89231107595	3040.12838133019	993.132
2019.90505355507	3037.01302612194	994.352
2019.91779603418	3023.44195265655	999.92
2019.93053851329	3007.62723103632	1006.17
2019.9432809924	2990.29889785027	1013.682
2019.95602347151	2974.61028379657	1021.772
2019.96876595063	2975.54981390529	1028.154
2019.98150842974	2992.38103179649	1030.264
2019.99425090885	2989.82723699947	1031.338
2020.00699338796	2989.8272978934	1031.336
2020.01973586707	2989.82788698131	1031.328
2020.03247834618	2989.8281410474	1031.324
2020.0452208253	2989.82842482968	1031.318
2020.05796330441	2989.82964488063	1031.304
2020.07070578352	2989.83023959801	1031.296
2020.08344826263	2989.82847834272	1031.282
2020.09619074174	2989.82859109286	1031.28
2020.10893322086	2989.82980975731	1031.266
2020.12167569997	2989.82883531364	1031.256
2020.13441817908	2989.82911672827	1031.254
2020.14716065819	2989.8297729602	1031.248
2020.1599031373	2989.82855704758	1031.24
2020.17264561641	2989.81104607108	1031.232
2020.18538809553	2989.8101351959	1031.228
2020.19813057464	2989.81127609402	1031.218
2020.21087305375	2989.81237876912	1031.208
2020.22361553286	2989.81315367458	1031.2
2020.23635801197	2989.81350868746	1031.198
2020.24910049109	2989.81392855177	1031.19
2020.2618429702	2989.8149274782	1031.178
2020.27458544931	2989.81582600989	1031.166
2020.28732792842	2989.81424568644	1031.16
2020.30007040753	2989.81434025102	1031.158
2020.31281288665	2989.81592488961	1031.142
2020.32555536576	2989.81078897589	1031.128
2020.33829784487	2989.81213044571	1031.116
2020.35104032398	2989.81291117062	1031.11
2020.36378280309	2989.81402602243	1031.098
2020.3765252822	2989.81441735695	1031.09
2020.38926776132	2989.81388288499	1031.082
2020.40201024043	2989.81473797409	1031.07
2020.41475271954	2989.81612048965	1031.054
2020.42749519865	2989.81641290729	1031.046
2020.44023767776	2989.81715183742	1031.038
2020.45298015688	2989.80143183531	1031.016
2020.46572263599	2989.80123319259	1031.004
2020.4784651151	2989.8013338333	1030.98
2020.49120759421	2989.80237339994	1030.96
2020.50395007332	2989.80355543281	1030.948
2020.51669255244	2989.79946329237	1030.94
2020.52943503155	2989.80129557849	1030.926
2020.54217751066	2989.80270533506	1030.914
2020.55491998977	2989.80303522902	1030.906
2020.56766246888	2989.80107866274	1030.89
2020.58040494799	2989.79683626263	1030.864
2020.59314742711	2989.79767281661	1030.848
2020.60588990622	2989.8002301809	1030.818
2020.61863238533	2989.80186843658	1030.792
2020.63137486444	2989.80285460156	1030.782
2020.64411734355	2989.80407073757	1030.768
2020.65685982267	2989.80556258917	1030.746
2020.66960230178	2989.80677802003	1030.722
2020.68234478089	2989.80429211882	1030.686
2020.69508726	2989.80695314665	1030.662
2020.70782973911	2989.80642939804	1030.62
2020.72057221823	2989.80264405199	1030.598
2020.73331469734	2989.80680600571	1030.556
2020.74605717645	2989.811420504	1030.528
2020.75879965556	2989.81269304741	1030.508
2020.77154213467	2989.81527573734	1030.462
2020.78428461378	2989.79053402307	1030.43
2020.7970270929	2989.78691057545	1030.374
2020.80976957201	2989.79058369871	1030.326
2020.82251205112	2989.78946254957	1030.266
2020.83525453023	2989.76419409159	1030.202
2020.84799700934	2989.76344822732	1030.132
2020.86073948846	2989.78094942665	1030.062
2020.87348196757	2989.79075802014	1029.996
2020.88622444668	2989.86371162435	1029.916
2020.89896692579	2989.91508633942	1029.768
2020.9117094049	2989.99872328577	1029.598
2020.92445188401	2990.20296776674	1029.32
2020.93719436313	2990.7714891926	1028.858
2020.94993684224	2991.73576111273	1028.154
2020.96267932135	2993.28353815955	1026.838
2020.97542180046	2995.88452178943	1024.318
2020.98816427957	2992.60198512625	1017.026
