time	95%HPD_lower_value	95%HPD_higher_value
2015.2158212419	37.1173995821604	52.6463144574635
2015.22856372101	36.9955616609343	52.4616691833145
2015.24130620013	36.8772106106627	52.2857738000753
2015.25404867924	36.7621988600195	52.1180207073546
2015.26679115835	36.6503870547232	51.9578573492427
2015.27953363746	36.5416434892074	51.8047799927123
2015.29227611657	36.4358435864965	51.6583285404054
2015.30501859568	36.3328694237775	51.5180818881687
2015.3177610748	36.2326092936816	51.4341597050619
2015.33050355391	36.1349573005493	51.557754244786
2015.34324603302	36.0398129876126	51.6762502481622
2015.35598851213	35.9470809905323	51.7899570643049
2015.36873099124	35.8566707204367	51.8991595390341
2015.38147347036	35.7684960681976	52.0041203366306
2015.39421594947	35.6824751311908	52.1050820896164
2015.40695842858	35.5985299582822	52.2022692601669
2015.41970090769	35.5963006036479	52.295889819539
2015.4324433868	35.5985572230345	52.3907283776179
2015.44518586591	35.6007541371967	52.4850958914486
2015.45792834503	35.60289369094	52.5760651086479
2015.47067082414	35.6049781015575	52.6872622476956
2015.48341330325	35.6070094755724	52.8966119880646
2015.49615578236	35.5309638490466	53.0742628808092
2015.50889826147	35.4552540554414	53.2449397271066
2015.52164074059	35.3816245828867	53.3834612365395
2015.5343832197	35.3099908599968	53.2462221322268
2015.54712569881	35.2402728366086	53.1142226554656
2015.55986817792	35.1720719138433	52.9728376464026
2015.57261065703	35.1047494388789	52.8175518035408
2015.58535313615	35.0393441692529	52.6680308868695
2015.59809561526	34.9757753571735	52.5239597427903
2015.61083809437	34.9139667323828	52.3850457800389
2015.62358057348	34.8538461956521	52.2492021005009
2015.63632305259	34.7953455271154	52.040737384206
2015.6490655317	35.1210125024188	51.9005293994626
2015.66180801082	35.610023929974	51.7650080681971
2015.67455048993	36.085154844153	51.6339422655386
2015.68729296904	36.5469879576385	51.5076360108813
2015.70003544815	36.9912462112162	51.4029708858143
2015.71277792726	37.5343399739326	51.3016757964634
2015.72552040638	46.3601093348301	51.2035905752062
2015.73826288549	46.7194119953255	51.1085650335454
2015.7510053646	47.0691195945964	51.0135450176973
2015.76374784371	47.4209303383236	50.7611461702526
2015.77649032282	47.7018662768037	50.7258677621703
2015.78923280194	47.9720522532968	50.694105232097
2015.80197528105	48.2320936798022	50.6383735196789
2015.81471776016	48.482551368116	50.5752646383423
2015.82746023927	48.723945522047	50.5127329151612
2015.84020271838	48.9567593673467	50.4484520769952
2015.85294519749	49.181442379412	50.3861850854834
2015.86568767661	49.4099183443399	50.3299873974784
2015.87843015572	49.7320827671135	50.2760986386657
2015.89117263483	50.0420892665892	50.2238619221957
2015.90391511394	50.1732024331444	50.2769344640923
2015.91665759305	50.0873217326619	50.124049804982
2015.92940007217	49.9048876548956	50.0763377938462
2015.94214255128	49.7292321513211	50.0300039848617
2015.95488503039	49.5907249267132	49.9849895144322
2015.9676275095	49.4672442501938	49.9412388259261
2015.98036998861	49.5179862916944	49.8986994367323
2015.99311246772	49.8346060997388	50.1290005447263
2016.00585494684	49.7537998779789	51.0631478138737
2016.01859742595	49.6751936421932	51.1965564444622
2016.03133990506	49.5986987684768	51.4037782062921
2016.04408238417	49.5230556099684	51.7578045532618
2016.05682486328	49.440639380634	52.0852547870831
2016.0695673424	49.3842658604599	52.4433411000447
2016.08230982151	49.3427214047754	52.7851941325057
2016.09505230062	49.2801771384379	52.992213395106
2016.10779477973	49.2193318406111	53.139483114637
2016.12053725884	49.1601172232588	53.2802751338565
2016.13327973796	49.1024686077333	53.3733627165394
2016.14602221707	49.0463246923006	53.4222974564743
2016.15876469618	48.9889537017263	53.4667663464495
2016.17150717529	48.9433162981657	53.4457732460789
2016.1842496544	48.9251959774652	53.4256964864622
2016.19699213351	48.9025484241475	53.4064773065048
2016.20973461263	48.880491363745	53.3880618736467
2016.22247709174	48.8590020075648	53.3646635483649
2016.23521957085	48.8380587295756	53.3263665324131
2016.24796204996	48.8176409868581	53.3981882868086
2016.26070452907	48.8381550487995	53.5980369901873
2016.27344700819	48.8646271008383	53.774505001485
2016.2861894873	48.8837672331952	53.9131274113952
2016.29893196641	48.8975126942675	54.0119205675347
2016.31167444552	49.1413209454179	197.16289332269
2016.32441692463	49.1444079081291	197.162522817442
2016.33715940375	49.12418307207	197.162145390443
2016.34990188286	49.0999472664736	197.161759404155
2016.36264436197	49.0763210973938	197.161364452031
2016.37538684108	49.0677651146189	197.160960941502
2016.38812932019	49.0670457030928	197.160549035455
2016.4008717993	49.0714314204745	197.160128484363
2016.41361427842	49.0757087979112	197.159699483096
2016.42635675753	49.079881810537	197.159261941357
2016.43909923664	49.0839542421609	197.158815825835
2016.45184171575	49.087929695482	197.158361212398
2016.46458419486	49.0918116023787	197.157898082548
2016.47732667398	50.106960467234	197.15742639802
2016.49006915309	49.9873307472873	197.156946194804
2016.5028116322	49.8704715399424	197.156457450798
2016.51555411131	51.2269896587024	197.155960178909
2016.52829659042	51.2192941677099	197.155454374625
2016.54103906953	51.2200989852062	197.15494005117
2016.55378154865	53.8189971210209	197.154417188333
2016.56652402776	53.8324158630992	197.153885786166
2016.57926650687	53.8933057784795	197.15334586337
2016.59200898598	53.8643797418868	194.377174213845
2016.60475146509	53.8299307580743	191.621276949021
2016.61749394421	53.7067563899777	189.179273040481
2016.63023642332	53.5866816868186	185.789856150711
2016.64297890243	54.0857608676481	180.992963540132
2016.65572138154	53.9499704478867	176.795162331215
2016.66846386065	53.7989996543408	173.09080927384
2016.68120633977	53.6518206118032	169.797720243903
2016.69394881888	53.5082922517004	161.581303231761
2016.70669129799	53.3680917293707	152.901895071619
2016.7194337771	53.2223698490967	145.222152712023
2016.73217625621	53.0654287526038	138.378773068423
2016.74491873532	52.7808876075372	131.899019502449
2016.75766121444	53.9618312540566	125.69771817477
2016.77040369355	53.7662396281893	119.413570989417
2016.78314617266	53.575170277488	116.365423536271
2016.79588865177	53.3711459709948	116.365243231898
2016.80863113088	53.1415963447193	116.365061044803
2016.82137361	52.9191312671232	116.364876975718
2016.83411608911	52.7034277527978	116.364691050113
2016.84685856822	52.4942549229145	116.364503214559
2016.85960104733	52.2920145909204	116.364313518442
2016.87234352644	52.0893296720003	116.364121925003
2016.88508600556	51.8215672402447	116.363928460952
2016.89782848467	51.5609430042158	116.363733112987
2016.91057096378	51.3048981309258	116.363535882463
2016.92331344289	51.0346100550008	116.363336764757
2016.936055922	50.7535022281728	116.363135769437
2016.94879840111	50.4734550883782	116.362932898806
2016.96154088023	50.2003002576811	116.362728144952
2016.97428335934	49.9350100718306	115.528283408491
2016.98702583845	49.677249688681	114.554537274997
2016.99976831756	49.4267030166146	113.676917265728
2017.01251079667	49.1830714043881	112.881856267175
2017.02525327579	48.9460724663277	112.158225933194
2017.0379957549	48.7154389840903	111.496811921625
2017.05073823401	48.4909179039094	110.889919324154
2017.06348071312	48.2722694099642	110.331071709584
2017.07622319223	48.0592660678476	109.242511772894
2017.08896567134	47.8516920399611	107.666680295167
2017.10170815046	47.6478873159955	106.235325302269
2017.11445062957	47.4259275114736	104.92944719962
2017.12719310868	47.2095100840335	103.733237820085
2017.13993558779	46.9984300056229	102.633437359058
2017.1526780669	46.7924922303659	101.61884083161
2017.16542054602	46.5915111045236	100.679914829517
2017.17816302513	46.3953098018286	99.8084970648419
2017.19090550424	46.2049972158979	98.997558398106
2017.20364798335	46.0205208153601	98.2410128018873
2017.21639046246	45.8595235185775	97.533564313296
2017.22913294158	45.7152530355737	96.8705828572901
2017.24187542069	45.5743279675076	93.7802665857129
2017.2546178998	45.4343901801169	90.3889777395239
2017.26736037891	45.3070725145612	87.2791079411856
2017.28010285802	45.1964047744243	84.4170230083022
2017.29284533713	45.0882682421675	81.7742433686893
2017.30558781625	44.980153147904	79.3264928357035
2017.31833029536	44.9247925159884	77.0529509616128
2017.33107277447	44.922232473493	74.935658847907
2017.34381525358	44.9433448268694	72.9590441630978
2017.35655773269	44.8696056462097	71.109537337341
2017.36930021181	44.7976386836635	69.3502614100964
2017.38204269092	44.7266800306548	67.5260765679253
2017.39478517003	44.6570419102395	65.526200170589
2017.40752764914	44.5932270535771	63.3950375970685
2017.42027012825	44.5317965974693	61.4338179674114
2017.43301260737	44.4717395415911	59.622993328001
2017.44575508648	44.4130646571864	58.5589964176286
2017.45849756559	44.3557247630367	59.6657247071328
2017.4712400447	44.2996527593276	60.8099541767622
2017.48398252381	44.5484188952103	61.8977544861611
2017.49672500292	44.4988729847138	62.9331995236663
2017.50946748204	44.447013731772	63.9153453326639
2017.52220996115	44.3963284379812	64.7958384895198
2017.53495244026	44.3467776681282	65.6345962019895
2017.54769491937	44.2983237403942	66.4345171563324
2017.56043739848	44.2305342121446	67.1982375130003
2017.5731798776	44.151407533189	67.8834172084142
2017.58592235671	44.0739767363224	68.4370500483101
2017.59866483582	43.9885038297864	68.9379162667559
2017.61140731493	43.532587870812	69.4913723504594
2017.62414979404	42.6936287783021	70.1986407439967
2017.63689227315	41.8985467482239	69.8507494110484
2017.64963475227	41.1439874594773	69.4507717151999
2017.66237723138	40.4269298998783	69.0705816066158
2017.67511971049	39.7446460876814	68.6798367646355
2017.6878621896	39.0946663645591	68.311502741119
2017.70060466871	38.4698109030272	67.9652595350697
2017.71334714783	37.8553658961893	67.6358007824063
2017.72608962694	37.270655614452	67.3361097657103
2017.73883210605	36.7135726539889	67.0648076267253
2017.75157458516	36.2034889985268	66.8062096504658
2017.76431706427	35.9112067515907	66.559443893008
2017.77705954339	35.9506838711223	66.3237164823649
2017.7898020225	36.0518759572626	66.0983029569113
2017.80254450161	36.1066482586935	65.8825409231798
2017.81528698072	36.1584239120984	65.6184398578042
2017.82802945983	37.1226792990455	65.1748436033943
2017.84077193894	38.269590221811	64.7497245309227
2017.85351441806	39.3549047761059	64.3419517155332
2017.86625689717	40.3834553915022	63.9590500335806
2017.87899937628	41.3595818550473	63.6151685852248
2017.89174185539	41.69730172372	63.246500075948
2017.9044843345	41.5650601398958	62.9104462354868
2017.91722681362	41.4755738954321	62.5884827557644
2017.92996929273	41.4031978680287	62.2797416338385
2017.94271177184	41.3351243919102	61.9956626357056
2017.95545425095	41.2684320639908	61.7363813536336
2017.96819673006	41.2030792706731	61.4880214990189
2017.98093920918	41.7250818236341	61.2288505212181
2017.99368168829	41.5739811700243	60.9702919158604
2018.0064241674	41.4006292808457	582.628239566696
2018.01916664651	40.5057275472102	582.631430463352
2018.03190912562	40.3970991731287	582.634585821085
2018.04465160473	40.4893032700117	582.637732097346
2018.05739408385	41.0658452919655	582.640860645345
2018.07013656296	40.943425394441	582.643971885075
2018.08287904207	40.8234577881995	536.488432305063
2018.09562152118	40.7296164623174	431.537892951054
2018.10836400029	40.6474203623329	357.91726448393
2018.12110647941	40.5740465876768	304.497869699343
2018.13384895852	41.6902671295991	267.288517559281
2018.14659143763	41.608942624952	239.882835616782
2018.15933391674	42.5324225030201	218.857319058466
