node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
538,545,0.000288963069469128,-0.253140884176184,-79.1843542745048,-0.253112917583192,-79.1842732496848,0.100091202453228,0.0998022393837585,2019.99921733984,2019.99950630291,28950000
538,539,0.00044034673177995,-0.253140884176184,-79.1843542745048,-0.253245286106038,-79.1842988919007,0.100242586115538,0.0998022393837585,2019.99921733984,2019.99965768657,28950000
539,19,0.497610072990162,-0.253245286106038,-79.1842988919007,-0.25899268230763,-79.187421032594,0.597852659105701,0.100242586115538,2019.99965768657,2020.49726775956,28950000
539,540,8.79488854819144e-05,-0.253245286106038,-79.1842988919007,0.446927872411533,-78.2878217323608,0.10033053500102,0.100242586115538,2019.99965768657,2019.99974563546,28950000
540,20,0.49752212410468,0.446927872411533,-78.2878217323608,0.44263227856339,-78.2909392333291,0.597852659105701,0.10033053500102,2019.99974563546,2020.49726775956,28950000
540,541,0.000150581764095215,0.446927872411533,-78.2878217323608,0.446798245682815,-78.2878257981102,0.100481116765116,0.10033053500102,2019.99974563546,2019.99989621722,28950000
541,542,5.01621589876766e-06,0.446798245682815,-78.2878257981102,0.44673065339002,-78.2876660228256,0.100486132981014,0.100481116765116,2019.99989621722,2019.99990123344,28950000
541,21,0.612125640701248,0.446798245682815,-78.2878257981102,0.440822527932749,-78.2852938616314,0.712606757466364,0.100481116765116,2019.99989621722,2020.61202185792,28950000
542,543,0.390126993392174,0.44673065339002,-78.2876660228256,0.449759846825917,-78.2860480499253,0.490613126373189,0.100486132981014,2019.99990123344,2020.39002822683,28950000
542,22,0.939989476944355,0.44673065339002,-78.2876660228256,0.444340609340381,-78.2872010542935,1.04047560992537,0.100486132981014,2019.99990123344,2020.93989071038,28950000
543,23,0.39412477863417,0.449759846825917,-78.2860480499253,0.446391545436686,-78.2857411352412,0.884737905007359,0.490613126373189,2020.39002822683,2020.78415300546,28950000
543,544,0.161824901846813,0.449759846825917,-78.2860480499253,0.447985065936709,-78.2907591858042,0.652438028220001,0.490613126373189,2020.39002822683,2020.55185312868,28950000
544,25,0.273283483344705,0.447985065936709,-78.2907591858042,0.442732670853092,-78.2874254452911,0.925721511564706,0.652438028220001,2020.55185312868,2020.82513661202,28950000
544,24,0.0792944123064732,0.447985065936709,-78.2907591858042,0.446428426505119,-78.2909483214364,0.731732440526474,0.652438028220001,2020.55185312868,2020.63114754098,28950000
545,26,0.768253259931147,-0.253112917583192,-79.1842732496848,-0.253463909569629,-79.1874669639878,0.868344462384374,0.100091202453228,2019.99950630291,2020.76775956284,28950000
