Entity;Code;Day;stringency_index
Ecuador;ECU;07.09.2020;73
Ecuador;ECU;08.09.2020;73
Ecuador;ECU;09.09.2020;73
Ecuador;ECU;10.09.2020;73
Ecuador;ECU;11.09.2020;73
Ecuador;ECU;12.09.2020;73
Ecuador;ECU;13.09.2020;73
Ecuador;ECU;14.09.2020;51
Ecuador;ECU;15.09.2020;51
Ecuador;ECU;16.09.2020;51
Ecuador;ECU;17.09.2020;51
Ecuador;ECU;18.09.2020;51
Ecuador;ECU;19.09.2020;51
Ecuador;ECU;20.09.2020;51
Ecuador;ECU;21.09.2020;51
Ecuador;ECU;22.09.2020;51
Ecuador;ECU;23.09.2020;51
Ecuador;ECU;24.09.2020;51
Ecuador;ECU;25.09.2020;51
Ecuador;ECU;26.09.2020;51
Ecuador;ECU;27.09.2020;51
Ecuador;ECU;28.09.2020;51
Ecuador;ECU;29.09.2020;51
Ecuador;ECU;30.09.2020;51
Ecuador;ECU;01.10.2020;51
Ecuador;ECU;02.10.2020;51
Ecuador;ECU;03.10.2020;51
Ecuador;ECU;04.10.2020;51
Ecuador;ECU;05.10.2020;51
Ecuador;ECU;06.10.2020;51
Ecuador;ECU;07.10.2020;51
Ecuador;ECU;08.10.2020;51
Ecuador;ECU;09.10.2020;51
Ecuador;ECU;10.10.2020;51
Ecuador;ECU;11.10.2020;51
Ecuador;ECU;12.10.2020;51
Ecuador;ECU;13.10.2020;51
Ecuador;ECU;14.10.2020;51
Ecuador;ECU;15.10.2020;51
Ecuador;ECU;16.10.2020;51
Ecuador;ECU;17.10.2020;52
Ecuador;ECU;18.10.2020;52
Ecuador;ECU;19.10.2020;52
Ecuador;ECU;20.10.2020;52
Ecuador;ECU;21.10.2020;52
Ecuador;ECU;22.10.2020;52
Ecuador;ECU;23.10.2020;52
Ecuador;ECU;24.10.2020;52
Ecuador;ECU;25.10.2020;52
Ecuador;ECU;26.10.2020;52
Ecuador;ECU;27.10.2020;52
Ecuador;ECU;28.10.2020;52
Ecuador;ECU;29.10.2020;52
Ecuador;ECU;30.10.2020;52
Ecuador;ECU;31.10.2020;52
Ecuador;ECU;01.11.2020;52
Ecuador;ECU;02.11.2020;52
Ecuador;ECU;03.11.2020;52
Ecuador;ECU;04.11.2020;52
Ecuador;ECU;05.11.2020;52
Ecuador;ECU;06.11.2020;52
Ecuador;ECU;07.11.2020;52
Ecuador;ECU;08.11.2020;52
Ecuador;ECU;09.11.2020;52
Ecuador;ECU;10.11.2020;52
Ecuador;ECU;11.11.2020;52
Ecuador;ECU;12.11.2020;52
Ecuador;ECU;13.11.2020;52
Ecuador;ECU;14.11.2020;52
Ecuador;ECU;15.11.2020;52
Ecuador;ECU;16.11.2020;52
Ecuador;ECU;17.11.2020;52
Ecuador;ECU;18.11.2020;52
Ecuador;ECU;19.11.2020;52
Ecuador;ECU;20.11.2020;52
Ecuador;ECU;21.11.2020;52
Ecuador;ECU;22.11.2020;52
Ecuador;ECU;23.11.2020;52
Ecuador;ECU;24.11.2020;52
Ecuador;ECU;25.11.2020;52
Ecuador;ECU;26.11.2020;52
Ecuador;ECU;27.11.2020;52
Ecuador;ECU;28.11.2020;52
Ecuador;ECU;29.11.2020;52
Ecuador;ECU;30.11.2020;52
Ecuador;ECU;01.12.2020;55
Ecuador;ECU;02.12.2020;55
Ecuador;ECU;03.12.2020;55
Ecuador;ECU;04.12.2020;55
Ecuador;ECU;05.12.2020;55
Ecuador;ECU;06.12.2020;55
Ecuador;ECU;07.12.2020;55
Ecuador;ECU;08.12.2020;55
Ecuador;ECU;09.12.2020;55
Ecuador;ECU;10.12.2020;55
Ecuador;ECU;11.12.2020;55
Ecuador;ECU;12.12.2020;55
Ecuador;ECU;13.12.2020;55
Ecuador;ECU;14.12.2020;55
Ecuador;ECU;15.12.2020;55
Ecuador;ECU;16.12.2020;55
Ecuador;ECU;17.12.2020;55
Ecuador;ECU;18.12.2020;55
Ecuador;ECU;19.12.2020;52
Ecuador;ECU;20.12.2020;52
Ecuador;ECU;21.12.2020;71
Ecuador;ECU;22.12.2020;71
Ecuador;ECU;23.12.2020;73
Ecuador;ECU;24.12.2020;73
Ecuador;ECU;25.12.2020;73
Ecuador;ECU;26.12.2020;73
Ecuador;ECU;27.12.2020;73
Ecuador;ECU;28.12.2020;73
Ecuador;ECU;29.12.2020;73
Ecuador;ECU;30.12.2020;73
Ecuador;ECU;31.12.2020;73
Ecuador;ECU;01.01.2021;73
Ecuador;ECU;02.01.2021;73
Ecuador;ECU;03.01.2021;73
Ecuador;ECU;04.01.2021;69
Ecuador;ECU;05.01.2021;69
Ecuador;ECU;06.01.2021;69
Ecuador;ECU;07.01.2021;69
Ecuador;ECU;08.01.2021;69
Ecuador;ECU;09.01.2021;69
Ecuador;ECU;10.01.2021;69
Ecuador;ECU;11.01.2021;69
Ecuador;ECU;12.01.2021;69
