name	nameseq	pangolineage	date	state
138245_S94/B.1.1.10/2020-10-07/SANTO_DOMINGO	138245_S94	B.1.1.10	2020-10-07	SANTO_DOMINGO
138367_S95/B.1.1/2020-10-07/GUAYAS	138367_S95	B.1.1	2020-10-07	GUAYAS
138426_S96/B.1.1/2020-10-07/CHIMBORAZO	138426_S96	B.1.1	2020-10-07	CHIMBORAZO
138458_S1/B.1.1.135/2020-10-07/GUAYAS	138458_S1	B.1.1.135	2020-10-07	GUAYAS
138541_S2/B.1.1/2020-10-07/GUAYAS	138541_S2	B.1.1	2020-10-07	GUAYAS
138551_S3/B.1.1.54/2020-10-05/LOS_RIOS	138551_S3	B.1.1.54	2020-10-05	LOS_RIOS
138571_S4/B.1.1/2020-10-06/MANABI	138571_S4	B.1.1	2020-10-06	MANABI
138580_S5/B.1.1/2020-10-07/MANABI	138580_S5	B.1.1	2020-10-07	MANABI
138593_S6/B.1.1/2020-10-07/MANABI	138593_S6	B.1.1	2020-10-07	MANABI
138718_S7/B.1.1/2020-10-07/LOS_RIOS	138718_S7	B.1.1	2020-10-07	LOS_RIOS
138728_S8/B.1.1/2020-10-07/LOS_RIOS	138728_S8	B.1.1	2020-10-07	LOS_RIOS
138734_S9/B.1.1/2020-10-07/GUAYAS	138734_S9	B.1.1	2020-10-07	GUAYAS
138761_S10/B.1.1/2020-10-06/MANABI	138761_S10	B.1.1	2020-10-06	MANABI
138878_S11/B.1.1/2020-10-07/GUAYAS	138878_S11	B.1.1	2020-10-07	GUAYAS
138906_S12/B.1.1/2020-10-06/SANTO_DOMINGO	138906_S12	B.1.1	2020-10-06	SANTO_DOMINGO
139068_S13/B.1.1.28/2020-10-07/SANTA_ELENA	139068_S13	B.1.1.28	2020-10-07	SANTA_ELENA
139149_S14/B.1.1.1/2020-10-08/GUAYAS	139149_S14	B.1.1.1	2020-10-08	GUAYAS
139191_S15/B.1.1/2020-10-07/EL_ORO	139191_S15	B.1.1	2020-10-07	EL_ORO
139193_S16/B.1.1/2020-10-07/EL_ORO	139193_S16	B.1.1	2020-10-07	EL_ORO
139219_S17/B.1.1/2020-10-07/MANABI	139219_S17	B.1.1	2020-10-07	MANABI
139235_S18/B.1.1/2020-10-08/MANABI	139235_S18	B.1.1	2020-10-08	MANABI
139281_S19/B.1.1/2020-10-07/GUAYAS	139281_S19	B.1.1	2020-10-07	GUAYAS
139288_S20/B.1.1.1/2020-10-08/GUAYAS	139288_S20	B.1.1.1	2020-10-08	GUAYAS
139318_S21/B.1.1/2020-10-05/CHIMBORAZO	139318_S21	B.1.1	2020-10-05	CHIMBORAZO
139327_S22/B.1.1/2020-10-06/CHIMBORAZO	139327_S22	B.1.1	2020-10-06	CHIMBORAZO
139333_S23/B.1.1/2020-10-07/CHIMBORAZO	139333_S23	B.1.1	2020-10-07	CHIMBORAZO
139369_S24/B.1.1/2020-10-08/GUAYAS	139369_S24	B.1.1	2020-10-08	GUAYAS
139375_S25/B.1.1.1/2020-10-08/EL_ORO	139375_S25	B.1.1.1	2020-10-08	EL_ORO
139419_S26/B.1.1/2020-10-08/SANTO_DOMINGO	139419_S26	B.1.1	2020-10-08	SANTO_DOMINGO
139470_S27/B.1.1.1/2020-10-08/GUAYAS	139470_S27	B.1.1.1	2020-10-08	GUAYAS
139472_S28/B.1.1.1/2020-10-08/GUAYAS	139472_S28	B.1.1.1	2020-10-08	GUAYAS
139519_S29/B.1.1.1/2020-10-08/EL_ORO	139519_S29	B.1.1.1	2020-10-08	EL_ORO
139532_S30/B.1.1/2020-10-07/LOS_RIOS	139532_S30	B.1.1	2020-10-07	LOS_RIOS
139559_S31/B.1.1/2020-10-08/GUAYAS	139559_S31	B.1.1	2020-10-08	GUAYAS
139674_S32/B.1.1.256/2020-10-12/MANABI	139674_S32	B.1.1.256	2020-10-12	MANABI
139719_S33/B.1.1/2020-10-09/SANTO_DOMINGO	139719_S33	B.1.1	2020-10-09	SANTO_DOMINGO
139747_S34/B.1.1/2020-10-12/MANABI	139747_S34	B.1.1	2020-10-12	MANABI
139820_S35/B.1.1.117/2020-10-08/MANABI	139820_S35	B.1.1.117	2020-10-08	MANABI
139843_S36/B.1.1/2020-10-07/MANABI	139843_S36	B.1.1	2020-10-07	MANABI
139855_S37/B.1.1.267/2020-10-08/SANTO_DOMINGO	139855_S37	B.1.1.267	2020-10-08	SANTO_DOMINGO
139895_S38/B.1.1/2020-10-12/GUAYAS	139895_S38	B.1.1	2020-10-12	GUAYAS
139939_S39/B.1.1/2020-10-12/GUAYAS	139939_S39	B.1.1	2020-10-12	GUAYAS
1416_S8/B.1.1.409/2020-03-19/GUAYAS	1416_S8	B.1.1.409	2020-03-19	GUAYAS
141_S86/B.1.1/2020-04-01/GUAYAS	141_S86	B.1.1	2020-04-01	GUAYAS
1437_S11/B.1.1/2020-03-20/GUAYAS	1437_S11	B.1.1	2020-03-20	GUAYAS
14_S7/B.1.1/2020-03-20/GUAYAS	14_S7	B.1.1	2020-03-20	GUAYAS
150023_S40/B.1.1/2020-10-30/GUAYAS	150023_S40	B.1.1	2020-10-30	GUAYAS
150028_S41/B.1.177.35/2020-10-28/MANABI	150028_S41	B.1.177.35	2020-10-28	MANABI
150029_S42/B.1.177.35/2020-10-29/MANABI	150029_S42	B.1.177.35	2020-10-29	MANABI
150031_S43/B.1.1/2020-10-29/MANABI	150031_S43	B.1.1	2020-10-29	MANABI
150032_S44/B.1.1.117/2020-10-28/MANABI	150032_S44	B.1.1.117	2020-10-28	MANABI
150051_S46/B.1.1/2020-10-30/MANABI	150051_S46	B.1.1	2020-10-30	MANABI
150074_S47/B.1.1.121/2020-10-30/MANABI	150074_S47	B.1.1.121	2020-10-30	MANABI
